TotalSteps,TotalDistance,Calories,SCORE
11584,7.800000191,2862,0
7881,4.949999809,2616,0
14560,9.409999847,2995,0
12390,8.069999695,2730,0
10052,6.809999943,2754,0
10288,6.760000229,2754,0
10988,8.31000042,2655,0
8564,5.599999905,2386,0
12461,8.380000114,2924,0
12827,8.479999542,2739,0
10677,7.099999905,2534,0
13566,9.109999657,2960,0
14433,10.78999996,2800,0
9572,6.519999981,2735,0
3789,2.559999943,1199,0
18060,14.11999989,3186,0
16433,13.35000038,3140,0
20159,15.97000027,3411,0
20669,16.23999977,3410,0
14549,11.10999966,2867,0
18827,13.68999958,3213,0
17076,12.65999985,3133,0
15929,12.47999954,3114,0
15108,12.18999958,3043,0
16057,12.51000023,3103,0
10520,8.289999962,2655,0
22359,17.19000053,3554,0
22988,17.95000076,3577,0
20500,15.68999958,3403,0
12685,9.619999886,2846,0
12422,9.819999695,2852,0
15447,12.39999962,3062,0
12315,9.649999619,2794,0
7135,5.590000153,2408,0
1170,0.850000024,1886,0
1969,1.429999948,1988,0
15484,11.89999962,3023,0
14581,11.14999962,2918,0
14990,11.51000023,2950,0
13953,11,2859,0
19769,15.67000008,3331,0
22026,17.64999962,3589,0
12465,9.380000114,2765,0
14810,11.35999966,2926,0
12209,9.399999619,2809,0
4998,3.910000086,1505,0
9033,7.159999847,2044,0
8053,6.099999905,1935,0
5234,3.460000038,1705,0
2672,1.769999981,1632,0
9256,6.139999866,1880,0
10204,7.909999847,2112,0
5151,3.480000019,1829,0
4212,2.779999971,1763,0
6466,4.269999981,1931,0
11268,8.56000042,2218,0
2824,1.870000005,1651,0
9282,6.260000229,2132,0
8905,7.130000114,1976,0
6829,4.510000229,1909,0
4562,3.039999962,1813,0
10232,8.180000305,2008,0
2718,1.799999952,1580,0
6260,4.260000229,1854,0
0,0,0,0
7626,6.050000191,3635,0
12386,9.819999695,4079,0
13318,10.56000042,4163,0
14461,11.47000027,3666,0
11207,8.890000343,3363,0
2132,1.690000057,2572,0
13630,10.81000042,4157,0
13070,10.35999966,4092,0
9388,7.440000057,3787,0
15148,12.01000023,4236,0
12200,9.670000076,4044,0
5709,4.53000021,2908,0
3703,2.940000057,2741,0
12405,9.840000153,4005,0
16208,12.85000038,3763,0
7359,5.840000153,3061,0
5417,4.300000191,2884,0
